cve_id,cve_description,cwe_id,cwe_description
CVE-2009-2523,"Chain: product does not handle when an input string is not NULL terminated (CWE-170), leading to buffer over-read (CWE-125) or heap-based buffer overflow (CWE-122).",CWE-170,Improper Null Termination
CVE-2001-1500,Does not verify reverse-resolved hostnames in DNS.,CWE-350,Reliance on Reverse DNS Resolution for a Security-Critical Action
CVE-2002-1372,"Chain: Return values of file/socket operations are not checked (CWE-252), allowing resultant consumption of file descriptors (CWE-772).",CWE-772,Missing Release of Resource after Effective Lifetime
CVE-2014-1266,"chain: incorrect goto in Apple SSL product bypasses certificate validation, allowing Adversary-in-the-Middle (AITM) attack (Apple goto fail bug). CWE-705 (Incorrect Control Flow Scoping) -> CWE-561 (Dead Code) -> CWE-295 (Improper Certificate Validation) -> CWE-393 (Return of Wrong Status Code) -> CWE-300 (Channel Accessible by Non-Endpoint).",CWE-561,Dead Code
CVE-2004-0030,Modification of assumed-immutable configuration variable in include file allows file inclusion via direct request.,CWE-98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')
CVE-2001-0467,... in web server,CWE-23,Relative Path Traversal
CVE-2010-2549,OS kernel driver allows code execution,CWE-911,Improper Update of Reference Count
CVE-2012-5782,PHP library for payments does not verify the hostname.,CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2007-4000,Unchecked return values can lead to a write to an uninitialized pointer.,CWE-824,Access of Uninitialized Pointer
CVE-2008-2049,POP3 server reveals a password in an error message after multiple APOP commands are sent. Might be resultant from another weakness.,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2001-1481,Cleartext credentials in world-readable file.,CWE-313,Cleartext Storage in a File or on Disk
CVE-2009-2858,Chain: memory leak (CWE-404) leads to resource exhaustion.,CWE-400,Uncontrolled Resource Consumption
CVE-2017-5715,"Intel, ARM, and AMD processor optimizations related to speculative execution and branch prediction cause access control checks to be bypassed when placing data into the cache. Often known as Spectre.",CWE-1038,Insecure Automated Optimizations
CVE-2004-2204,Gain privileges using functions/tags that should be restricted (Accessible entities).,CWE-267,Privilege Defined With Unsafe Actions
CVE-2000-0614,Arbitrary files may be overwritten via compressed attachments that specify absolute path names for the decompressed output.,CWE-37,Path Traversal: '/absolute/pathname/here'
CVE-2005-0877,"DNS server can accept DNS updates from hosts that it did not query, leading to cache poisoning",CWE-940,Improper Verification of Source of a Communication Channel
CVE-2002-1213,%2f (encoded slash),CWE-177,Improper Handling of URL Encoding (Hex Encoding)
CVE-2002-0106,Server allows remote attackers to cause a denial of service via a series of requests to .JSP files that contain an MS-DOS device name.,CWE-67,Improper Handling of Windows Device Names
CVE-2020-9054,"Chain: improper input validation (CWE-20) in username parameter, leading to OS command injection (CWE-78), as exploited in the wild per CISA KEV.",CWE-20,Improper Input Validation
CVE-2003-0637,"Product uses a shorter timeout for a non-existent user than a valid user, which makes it easier for remote attackers to guess usernames and conduct brute force password guessing.",CWE-203,Observable Discrepancy
CVE-2008-2309,"product uses a denylist to identify potentially dangerous content, allowing attacker to bypass a warning",CWE-184,Incomplete List of Disallowed Inputs
CVE-2002-1362,Crash via message type without separator character,CWE-166,Improper Handling of Missing Special Element
CVE-2002-1725,"Script calls phpinfo(), revealing system configuration to web user",CWE-200,Exposure of Sensitive Information to an Unauthorized Actor
CVE-2023-29374,"Math component in an LLM framework translates user input into a Python expression that is input into the Python exec() method, allowing code execution - one variant of a prompt injection attack.",CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2001-0446,Application server allows remote attackers to read source code for .jsp files by appending a / to the requested URL.,CWE-41,Improper Resolution of Path Equivalence
CVE-2004-2213,Source code disclosure using trailing dot or trailing encoding space %20,CWE-41,Improper Resolution of Path Equivalence
CVE-2000-0335,"DNS resolver uses predictable IDs, allowing a local user to spoof DNS query results.",CWE-342,Predictable Exact Value from Previous Values
CVE-2019-3792,An automation system written in Go contains an API that is vulnerable to SQL injection allowing the attacker to read privileged data.,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2024-4181,Framework for LLM applications allows eval injection via a crafted response from a hosting provider.,CWE-95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection')
CVE-2021-3116,"Chain: Python-based HTTP Proxy server uses the wrong boolean operators (CWE-480) causing an incorrect comparison (CWE-697) that identifies an authN failure if all three conditions are met instead of only one, allowing bypass of the proxy authentication (CWE-1390)",CWE-480,Use of Incorrect Operator
CVE-2003-1026,Web browser cross domain problem when user hits back button.,CWE-270,Privilege Context Switching Error
CVE-2011-2014,"LDAP-over-SSL implementation does not check Certificate Revocation List (CRL), allowing spoofing using a revoked certificate.",CWE-299,Improper Check for Certificate Revocation
CVE-2020-0022,"chain: mobile phone Bluetooth implementation does not include offset when calculating packet length (CWE-682), leading to out-of-bounds write (CWE-787)",CWE-682,Incorrect Calculation
CVE-2002-1154,"Script does not restrict access to an update command, leading to resultant disk consumption and filled error logs (Accessible entities).",CWE-267,Privilege Defined With Unsafe Actions
CVE-2021-25476,"Digital Rights Management (DRM) capability for mobile platform leaks pointer information, simplifying ASLR bypass",CWE-1295,Debug Messages Revealing Unnecessary Information
CVE-2005-3274,"race condition causes a table to be corrupted if a timer activates while it is being modified, leading to resultant NULL dereference; also involves locking.",CWE-476,NULL Pointer Dereference
CVE-2002-1682,Weak encryption,CWE-326,Inadequate Encryption Strength
CVE-2006-6276,Web servers allow request smuggling via inconsistent HTTP headers.,CWE-444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling')
CVE-2001-1565,username/password on command line allows local users to view via ps or other process listing programs,CWE-214,Invocation of Process Using Visible Sensitive Information
CVE-2002-1446,"Error checking routine in PKCS#11 library returns OK status even when invalid signature is detected, allowing spoofed messages.",CWE-392,Missing Report of Error Condition
CVE-2001-1559,"Chain: System call returns wrong value (CWE-393), leading to a resultant NULL dereference (CWE-476).",CWE-393,Return of Wrong Status Code
CVE-2023-21087,Java code in a smartphone OS can encounter a boot loop due to an uncaught exception,CWE-248,Uncaught Exception
CVE-2021-29529,Chain: machine-learning product can have a heap-based buffer overflow (CWE-122) when some integer-oriented bounds are calculated by using ceiling() and floor() on floating point values (CWE-1339),CWE-122,Heap-based Buffer Overflow
CVE-2007-4988,"Chain: signed short width value in image processor is sign extended during conversion to unsigned int, which leads to integer overflow and heap-based buffer overflow.",CWE-681,Incorrect Conversion between Numeric Types
CVE-2021-21317,npm package for user-agent parser prone to ReDoS due to overlapping capture groups,CWE-1333,Inefficient Regular Expression Complexity
CVE-2007-5727,Denylist only removes <SCRIPT> tag.,CWE-692,Incomplete Denylist to Cross-Site Scripting
CVE-2008-0662,"VPN product stores user credentials in a registry key with Everyone: Full Control permissions, allowing attackers to steal the credentials.",CWE-732,Incorrect Permission Assignment for Critical Resource
CVE-2004-1084,Server allows remote attackers to read files and resource fork content via HTTP requests to certain special file names related to multiple data streams in HFS+.,CWE-66,Improper Handling of File Names that Identify Virtual Resources
CVE-2023-25815,"chain: a change in an underlying package causes the gettext function to use implicit initialization with a hard-coded path (CWE-1419) under the user-writable C: drive, introducing an untrusted search path element (CWE-427) that enables spoofing of messages.",CWE-427,Uncontrolled Search Path Element
CVE-2006-6597,"Argument injection vulnerability in HyperAccess 8.4 allows user-assisted remote attackers to execute arbitrary vbscript and commands via the /r option in a telnet:// URI, which is configured to use hawin32.exe.",CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CVE-2008-4197,Use of uninitialized memory may allow code execution.,CWE-665,Improper Initialization
CVE-2020-29652,ssh component for Go allows clients to cause a denial of service (nil pointer dereference) against SSH servers.,CWE-476,NULL Pointer Dereference
